USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.9  0.0  25300 15288 ?        Ss   10:43   0:01 /sbin/init splash threadirqs
root         108  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-PCIe PME]
root         109  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-aerdrv]
root         110  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-s-aerdrv]
root         111  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/28-PCIe bwctrl]
root         112  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-PCIe PME]
root         113  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-aerdrv]
root         114  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-s-aerdrv]
root         115  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/30-PCIe bwctrl]
root         116  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/32-PCIe bwctrl]
root         117  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/34-PCIe bwctrl]
root         118  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/3:1-events]
root         119  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/35-PCIe bwctrl]
root         120  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/36-PCIe bwctrl]
root         121  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/38-PCIe bwctrl]
root         122  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-acpi_thermal_pm]
root         123  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/8-rtc0]
root         124  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-mld]
root         125  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-ipv6_addrconf]
root         126  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u16:1-sdma1]
root         127  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-kstrp]
root         130  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/1:2-events]
root         131  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/3:2-events]
root         136  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/u20:0-ttm]
root         137  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/u21:0-ttm]
root         190  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/2:1H-kblockd]
root         259  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/0:2-events]
root         260  0.0  0.0      0     0 ?        S    10:43   0:00 [watchdogd]
root         261  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-nvme-wq]
root         264  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/3:3-events]
root         273  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-nvme-reset-wq]
root         277  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-nvme-delete-wq]
root         278  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-nvme-auth-wq]
root         279  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-ata_sff]
root         283  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/41-nvme0q0]
root         284  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/42-nvme0q1]
root         285  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/43-nvme0q2]
root         286  0.0  0.0      0     0 ?        S    10:43   0:00 [irq/44-nvme0q3]
